H काल काल NP NNP NP k7t VGF ; H चुना चुन VGF VM VGF NULL ROOT ; R ; k7t 
H उठे उठ VGNF VM VGNF2 nmod__k1inv NP3  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H टिथी टिथी NP NN NP2 k3 VGNF2  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H जिन्ना जिन्ना NP NNP NP k7 VGNF  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H की कर VGNF VM VGNF nmod__k2inv NP2  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H खड़ी खड़ा JJP JJ JJP k1s VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H आडवाणी आडवाणी NP NNP NP6 ras-k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H जिन्ना जिन्ना NP NNP NP k7 VGNF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H की कर VGNF VM VGNF nmod__k2inv NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H खड़ी खड़ा JJP JJ JJP k1s VGF  ;  U ;  NULL
ROOT  ;  H आडवाणी आडवाणी NP NNP NP6 ras-k1 VGF  ;  U ;  NULL
ROOT  ;  H जिन्ना जिन्ना NP NNP NP k7 VGNF  ;  U ;  NULL
ROOT  ;  H की कर VGNF VM VGNF nmod__k2inv NP2  ;  U ;  NULL
H वाजपेयी वाजपेयी NP NNP NP k1 VGF ; H आ आ VGF VM VGF ccof CCP ; R ; k1 
H खुलकर खुल VGNF VM VGNF adv VGF ; H आ आ VGF VM VGF ccof CCP ; R ; adv 
H आडवाणी आडवाणी NP NNP NP2 r6 NP3 ; H बचाव बचाव NP NN NP3 k7 VGF ; R ; r6 
H बचाव बचाव NP NN NP3 k7 VGF ; H आ आ VGF VM VGF ccof CCP ; R ; k7 
H सामने सामने NP NST NP4 pof VGF ; H आ आ VGF VM VGF ccof CCP ; R ; pof 
H आ आ VGF VM VGF ccof CCP ; H और और CCP CC CCP NULL ROOT ; R ; ccof 
ROOT ; H और और CCP CC CCP NULL ROOT ; L ; ROOT 
H और और CCP CC CCP NULL ROOT ; H बोले बोल VGF VM VGF2 ccof CCP ; L ; ccof 
H पाकिस्तान पाकिस्तान NP NNP NP5 r6 NP6 ; H जनक जनक NP NN NP6 k1 VGF3 ; R ; r6 
H जनक जनक NP NN NP6 k1 VGF3 ; H की कर VGF VM VGF3 k2 VGF2 ; R ; k1 
H संघर्ष संघर्ष NP NN NP7 k7 VGF3 ; H की कर VGF VM VGF3 k2 VGF2 ; R ; k7 
H भूमिका भूमिका NP NN NP8 k2 VGF3 ; H की कर VGF VM VGF3 k2 VGF2 ; R ; k2 
H अदा अदा NP NN NP9 pof VGF3 ; H की कर VGF VM VGF3 k2 VGF2 ; R ; pof 
H बोले बोल VGF VM VGF2 ccof CCP ; H की कर VGF VM VGF3 k2 VGF2 ; L ; k2 
H और और CCP CC CCP NULL ROOT ; H । । BLK SYM BLK rsym CCP ; L ; rsym 
H वाजपेयी वाजपेयी NP NNP NP k1 VGF  ;  H सामने सामने NP NST NP4 pof VGF  ;  U ;  NULL
H वाजपेयी वाजपेयी NP NNP NP k1 VGF  ;  H खुलकर खुल VGNF VM VGNF adv VGF  ;  U ;  NULL
H खुलकर खुल VGNF VM VGNF adv VGF  ;  H सामने सामने NP NST NP4 pof VGF  ;  U ;  NULL
H खुलकर खुल VGNF VM VGNF adv VGF  ;  H आडवाणी आडवाणी NP NNP NP2 r6 NP3  ;  U ;  NULL
H बचाव बचाव NP NN NP3 k7 VGF  ;  H सामने सामने NP NST NP4 pof VGF  ;  U ;  NULL
H सामने सामने NP NST NP4 pof VGF  ;  H और और CCP CC CCP NULL ROOT  ;  U ;  NULL
H बचाव बचाव NP NN NP3 k7 VGF  ;  H और और CCP CC CCP NULL ROOT  ;  U ;  NULL
H वाजपेयी वाजपेयी NP NNP NP k1 VGF  ;  H और और CCP CC CCP NULL ROOT  ;  U ;  NULL
H खुलकर खुल VGNF VM VGNF adv VGF  ;  H और और CCP CC CCP NULL ROOT  ;  U ;  NULL
H जनक जनक NP NN NP6 k1 VGF3  ;  H अदा अदा NP NN NP9 pof VGF3  ;  U ;  NULL
H जनक जनक NP NN NP6 k1 VGF3  ;  H संघर्ष संघर्ष NP NN NP7 k7 VGF3  ;  U ;  NULL
H संघर्ष संघर्ष NP NN NP7 k7 VGF3  ;  H भूमिका भूमिका NP NN NP8 k2 VGF3  ;  U ;  NULL
H भूमिका भूमिका NP NN NP8 k2 VGF3  ;  H अदा अदा NP NN NP9 pof VGF3  ;  U ;  NULL
H पाकिस्तान पाकिस्तान NP NNP NP5 r6 NP6  ;  H की कर VGF VM VGF3 k2 VGF2  ;  U ;  NULL
H की कर VGF VM VGF3 k2 VGF2  ;  H । । BLK SYM BLK rsym CCP  ;  U ;  NULL
H अदा अदा NP NN NP9 pof VGF3  ;  H । । BLK SYM BLK rsym CCP  ;  U ;  NULL
H वाजपेयी वाजपेयी NP NNP NP k1 VGF  ;  H । । BLK SYM BLK rsym CCP  ;  U ;  NULL
H खुलकर खुल VGNF VM VGNF adv VGF  ;  H । । BLK SYM BLK rsym CCP  ;  U ;  NULL
ROOT  ;  H की कर VGF VM VGF3 k2 VGF2  ;  U ;  NULL
ROOT  ;  H अदा अदा NP NN NP9 pof VGF3  ;  U ;  NULL
ROOT  ;  H वाजपेयी वाजपेयी NP NNP NP k1 VGF  ;  U ;  NULL
ROOT  ;  H खुलकर खुल VGNF VM VGNF adv VGF  ;  U ;  NULL
H आडवाणी आडवाणी NP NNP NP r6 NP2 ; H इस्तीफे इस्तीफा NP NN NP2 r6 NP3 ; R ; r6 
H इस्तीफे इस्तीफा NP NN NP2 r6 NP3 ; H खबर खबर NP NN NP3 k3 VGNF ; R ; r6 
H खबर खबर NP NN NP3 k3 VGNF ; H मचे मच VGNF VM VGNF nmod__k1inv NP6 ; R ; k3 
H भाजपा भाजपा NP NNP NP4 ccof CCP ; H और और CCP CC CCP k7 VGNF ; R ; ccof 
H और और CCP CC CCP k7 VGNF ; H मचे मच VGNF VM VGNF nmod__k1inv NP6 ; R ; k7 
H और और CCP CC CCP k7 VGNF ; H संघ संघ NP NN NP5 ccof CCP ; L ; ccof 
H मचे मच VGNF VM VGNF nmod__k1inv NP6 ; H घमासान घमासान NP NN NP6 k7t VGF ; R ; nmod__k1inv 
H घमासान घमासान NP NN NP6 k7t VGF ; H आ आ VGF VM VGF NULL ROOT ; R ; k7t 
H वाजयेपी वाजयेपी NP NNP NP7 k1 VGF ; H आ आ VGF VM VGF NULL ROOT ; R ; k1 
H मंगलवार मंगलवार NP NNP NP8 k7t VGF ; H आ आ VGF VM VGF NULL ROOT ; R ; k7t 
H अपनी अपना NP PRP NP9 r6 NP10 ; H छुट्टियां छुट्टी NP NN NP10 k1 VGNF2 ; R ; r6 
H छुट्टियां छुट्टी NP NN NP10 k1 VGNF2 ; H छोड़कर छोड़ VGNF VM VGNF2 vmod VGF ; R ; k1 
H बीच बीच NP NST NP11 k7t VGNF2 ; H छोड़कर छोड़ VGNF VM VGNF2 vmod VGF ; R ; k7t 
H छोड़कर छोड़ VGNF VM VGNF2 vmod VGF ; H आ आ VGF VM VGF NULL ROOT ; R ; vmod 
H मनाली मनाली NP NNP NP12 k5 VGF ; H आ आ VGF VM VGF NULL ROOT ; R ; k5 
H दिल्ली दिल्ली NP NNP NP13 k2p VGF ; H आ आ VGF VM VGF NULL ROOT ; R ; k2p 
ROOT ; H आ आ VGF VM VGF NULL ROOT ; L ; ROOT 
H आ आ VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H खबर खबर NP NN NP3 k3 VGNF  ;  H संघ संघ NP NN NP5 ccof CCP  ;  U ;  NULL
H खबर खबर NP NN NP3 k3 VGNF  ;  H भाजपा भाजपा NP NNP NP4 ccof CCP  ;  U ;  NULL
H घमासान घमासान NP NN NP6 k7t VGF  ;  H दिल्ली दिल्ली NP NNP NP13 k2p VGF  ;  U ;  NULL
H घमासान घमासान NP NN NP6 k7t VGF  ;  H वाजयेपी वाजयेपी NP NNP NP7 k1 VGF  ;  U ;  NULL
H वाजयेपी वाजयेपी NP NNP NP7 k1 VGF  ;  H दिल्ली दिल्ली NP NNP NP13 k2p VGF  ;  U ;  NULL
H वाजयेपी वाजयेपी NP NNP NP7 k1 VGF  ;  H मंगलवार मंगलवार NP NNP NP8 k7t VGF  ;  U ;  NULL
H मंगलवार मंगलवार NP NNP NP8 k7t VGF  ;  H दिल्ली दिल्ली NP NNP NP13 k2p VGF  ;  U ;  NULL
H मंगलवार मंगलवार NP NNP NP8 k7t VGF  ;  H अपनी अपना NP PRP NP9 r6 NP10  ;  U ;  NULL
H छुट्टियां छुट्टी NP NN NP10 k1 VGNF2  ;  H बीच बीच NP NST NP11 k7t VGNF2  ;  U ;  NULL
H छोड़कर छोड़ VGNF VM VGNF2 vmod VGF  ;  H मनाली मनाली NP NNP NP12 k5 VGF  ;  U ;  NULL
H मनाली मनाली NP NNP NP12 k5 VGF  ;  H दिल्ली दिल्ली NP NNP NP13 k2p VGF  ;  U ;  NULL
H बीच बीच NP NST NP11 k7t VGNF2  ;  H आ आ VGF VM VGF NULL ROOT  ;  U ;  NULL
H छुट्टियां छुट्टी NP NN NP10 k1 VGNF2  ;  H आ आ VGF VM VGF NULL ROOT  ;  U ;  NULL
H आडवाणी आडवाणी NP NNP NP r6 NP2  ;  H आ आ VGF VM VGF NULL ROOT  ;  U ;  NULL
H इस्तीफे इस्तीफा NP NN NP2 r6 NP3  ;  H आ आ VGF VM VGF NULL ROOT  ;  U ;  NULL
H दिल्ली दिल्ली NP NNP NP13 k2p VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H मनाली मनाली NP NNP NP12 k5 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H आडवाणी आडवाणी NP NNP NP r6 NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H इस्तीफे इस्तीफा NP NN NP2 r6 NP3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H दिल्ली दिल्ली NP NNP NP13 k2p VGF  ;  U ;  NULL
ROOT  ;  H मनाली मनाली NP NNP NP12 k5 VGF  ;  U ;  NULL
ROOT  ;  H आडवाणी आडवाणी NP NNP NP r6 NP2  ;  U ;  NULL
ROOT  ;  H इस्तीफे इस्तीफा NP NN NP2 r6 NP3  ;  U ;  NULL
H उन्होंने वह NP PRP NP k1 VGF ; H लगाया लगा VGF VM VGF NULL ROOT ; R ; k1 
H आरोप आरोप NP NN NP2 pof VGF ; H लगाया लगा VGF VM VGF NULL ROOT ; R ; pof 
ROOT ; H लगाया लगा VGF VM VGF NULL ROOT ; L ; ROOT 
H लगाया लगा VGF VM VGF NULL ROOT ; H कि कि CCP CC CCP k2 VGF ; L ; k2 
H आडवाणी आडवाणी NP NNP NP3 k1 VGF2 ; H कहा कह VGF VM VGF2 nmod__relc NP5 ; R ; k1 
H कुछ कुछ NP PRP NP4 k2 VGF2 ; H कहा कह VGF VM VGF2 nmod__relc NP5 ; R ; k2 
H कहा कह VGF VM VGF2 nmod__relc NP5 ; H उसके वह NP PRP NP5 r6 NP6 ; R ; nmod__relc 
H उसके वह NP PRP NP5 r6 NP6 ; H अर्थ अर्थ NP NN NP6 k1 VGF3 ; R ; r6 
H अर्थ अर्थ NP NN NP6 k1 VGF3 ; H निकाले निकाल VGF VM VGF3 ccof CCP ; R ; k1 
H कि कि CCP CC CCP k2 VGF ; H निकाले निकाल VGF VM VGF3 ccof CCP ; L ; ccof 
H लगाया लगा VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H उन्होंने वह NP PRP NP k1 VGF  ;  H आरोप आरोप NP NN NP2 pof VGF  ;  U ;  NULL
H आडवाणी आडवाणी NP NNP NP3 k1 VGF2  ;  H कुछ कुछ NP PRP NP4 k2 VGF2  ;  U ;  NULL
H आडवाणी आडवाणी NP NNP NP3 k1 VGF2  ;  H निकाले निकाल VGF VM VGF3 ccof CCP  ;  U ;  NULL
H उसके वह NP PRP NP5 r6 NP6  ;  H निकाले निकाल VGF VM VGF3 ccof CCP  ;  U ;  NULL
H निकाले निकाल VGF VM VGF3 ccof CCP  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H अर्थ अर्थ NP NN NP6 k1 VGF3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H उन्होंने वह NP PRP NP k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H आरोप आरोप NP NN NP2 pof VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H निकाले निकाल VGF VM VGF3 ccof CCP  ;  U ;  NULL
ROOT  ;  H अर्थ अर्थ NP NN NP6 k1 VGF3  ;  U ;  NULL
ROOT  ;  H उन्होंने वह NP PRP NP k1 VGF  ;  U ;  NULL
ROOT  ;  H आरोप आरोप NP NN NP2 pof VGF  ;  U ;  NULL
H जिन्ना जिन्ना NP NNP NP k2 VGNF ; H बताते बता VGNF VM VGNF vmod VGF ; R ; k2 
H पाकिस्तान पाकिस्तान NP NNP NP2 r6 NP3 ; H जनक जनक NP NN NP3 k2g VGNF ; R ; r6 
H जनक जनक NP NN NP3 k2g VGNF ; H बताते बता VGNF VM VGNF vmod VGF ; R ; k2g 
H बताते बता VGNF VM VGNF vmod VGF ; H कहा कह VGF VM VGF NULL ROOT ; R ; vmod 
H वाजपेयी वाजपेयी NP NNP NP4 k1 VGF ; H कहा कह VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H कहा कह VGF VM VGF NULL ROOT ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT ; H कि कि CCP CC CCP k2 VGF ; L ; k2 
H आजम आजम NP NN NP5 k1 VGF2 ; H चाहते चाह VGF VM VGF2 ccof CCP ; R ; k1 
H कि कि CCP CC CCP k2 VGF ; H चाहते चाह VGF VM VGF2 ccof CCP ; L ; ccof 
H चाहते चाह VGF VM VGF2 ccof CCP ; H कि कि CCP CC CCP2 k2 VGF2 ; L ; k2 
H भारत भारत NP NNP NP6 ccof CCP3 ; H और और CCP CC CCP3 r6 NP8 ; R ; ccof 
H और और CCP CC CCP3 r6 NP8 ; H लोग लोग NP NN NP8 k1 VGF3 ; R ; r6 
H और और CCP CC CCP3 r6 NP8 ; H पाकिस्तान पाकिस्तान NP NNP NP7 ccof CCP3 ; L ; ccof 
H लोग लोग NP NN NP8 k1 VGF3 ; H रहें रह VGF VM VGF3 ccof CCP4 ; R ; k1 
H सद्भावना सद्भावना NP NN NP9 adv VGF3 ; H रहें रह VGF VM VGF3 ccof CCP4 ; R ; adv 
H रहें रह VGF VM VGF3 ccof CCP4 ; H लेकिन लेकिन CCP CC CCP4 ccof CCP2 ; R ; ccof 
H कि कि CCP CC CCP2 k2 VGF2 ; H लेकिन लेकिन CCP CC CCP4 ccof CCP2 ; L ; ccof 
H पाकिस्तान पाकिस्तान NP NN NP10 r6 NP11 ; H नेताओं नेता NP NN NP11 k1 VGF4 ; R ; r6 
H नेताओं नेता NP NN NP11 k1 VGF4 ; H किया कर VGF VM VGF4 ccof CCP4 ; R ; k1 
H उनका वह NP PRP NP12 r6-k2 NP13 ; H समर्थन समर्थन NP NN NP13 pof VGF4 ; R ; r6-k2 
H समर्थन समर्थन NP NN NP13 pof VGF4 ; H किया कर VGF VM VGF4 ccof CCP4 ; R ; pof 
H लेकिन लेकिन CCP CC CCP4 ccof CCP2 ; H किया कर VGF VM VGF4 ccof CCP4 ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H जिन्ना जिन्ना NP NNP NP k2 VGNF  ;  H पाकिस्तान पाकिस्तान NP NNP NP2 r6 NP3  ;  U ;  NULL
H बताते बता VGNF VM VGNF vmod VGF  ;  H वाजपेयी वाजपेयी NP NNP NP4 k1 VGF  ;  U ;  NULL
H जनक जनक NP NN NP3 k2g VGNF  ;  H कहा कह VGF VM VGF NULL ROOT  ;  U ;  NULL
H पाकिस्तान पाकिस्तान NP NNP NP2 r6 NP3  ;  H कहा कह VGF VM VGF NULL ROOT  ;  U ;  NULL
H जिन्ना जिन्ना NP NNP NP k2 VGNF  ;  H कहा कह VGF VM VGF NULL ROOT  ;  U ;  NULL
H लोग लोग NP NN NP8 k1 VGF3  ;  H सद्भावना सद्भावना NP NN NP9 adv VGF3  ;  U ;  NULL
H भारत भारत NP NNP NP6 ccof CCP3  ;  H लेकिन लेकिन CCP CC CCP4 ccof CCP2  ;  U ;  NULL
H सद्भावना सद्भावना NP NN NP9 adv VGF3  ;  H लेकिन लेकिन CCP CC CCP4 ccof CCP2  ;  U ;  NULL
H नेताओं नेता NP NN NP11 k1 VGF4  ;  H उनका वह NP PRP NP12 r6-k2 NP13  ;  U ;  NULL
H पाकिस्तान पाकिस्तान NP NN NP10 r6 NP11  ;  H किया कर VGF VM VGF4 ccof CCP4  ;  U ;  NULL
H उनका वह NP PRP NP12 r6-k2 NP13  ;  H किया कर VGF VM VGF4 ccof CCP4  ;  U ;  NULL
H किया कर VGF VM VGF4 ccof CCP4  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H समर्थन समर्थन NP NN NP13 pof VGF4  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H जिन्ना जिन्ना NP NNP NP k2 VGNF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H पाकिस्तान पाकिस्तान NP NNP NP2 r6 NP3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H किया कर VGF VM VGF4 ccof CCP4  ;  U ;  NULL
ROOT  ;  H समर्थन समर्थन NP NN NP13 pof VGF4  ;  U ;  NULL
ROOT  ;  H जिन्ना जिन्ना NP NNP NP k2 VGNF  ;  U ;  NULL
ROOT  ;  H पाकिस्तान पाकिस्तान NP NNP NP2 r6 NP3  ;  U ;  NULL
H उन्होंने वह NP PRP NP k1 VGF ; H कहा कह VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H कहा कह VGF VM VGF NULL ROOT ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT ; H कि कि CCP CC CCP k2 VGF ; L ; k2 
H नायडू नायडू NP NNP NP2 nmod NP4 ; H नेता नेता NP NN NP4 k1 VGF2 ; R ; nmod 
H कांग्रेस कांग्रेस NP NNP NP3 r6 NP4 ; H नेता नेता NP NN NP4 k1 VGF2 ; R ; r6 
H नेता नेता NP NN NP4 k1 VGF2 ; H की कर VGF VM VGF2 ccof CCP ; R ; k1 
H जिन्ना जिन्ना NP NNP NP5 k7 VGF2 ; H की कर VGF VM VGF2 ccof CCP ; R ; k7 
H तरह तरह NP NN NP6 r6-k2 NP7 ; H टिथी टिथी NP NN NP7 pof VGF2 ; R ; r6-k2 
H टिथी टिथी NP NN NP7 pof VGF2 ; H की कर VGF VM VGF2 ccof CCP ; R ; pof 
H कि कि CCP CC CCP k2 VGF ; H की कर VGF VM VGF2 ccof CCP ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H नायडू नायडू NP NNP NP2 nmod NP4  ;  H कांग्रेस कांग्रेस NP NNP NP3 r6 NP4  ;  U ;  NULL
H नेता नेता NP NN NP4 k1 VGF2  ;  H टिथी टिथी NP NN NP7 pof VGF2  ;  U ;  NULL
H नेता नेता NP NN NP4 k1 VGF2  ;  H जिन्ना जिन्ना NP NNP NP5 k7 VGF2  ;  U ;  NULL
H जिन्ना जिन्ना NP NNP NP5 k7 VGF2  ;  H तरह तरह NP NN NP6 r6-k2 NP7  ;  U ;  NULL
H नायडू नायडू NP NNP NP2 nmod NP4  ;  H की कर VGF VM VGF2 ccof CCP  ;  U ;  NULL
H तरह तरह NP NN NP6 r6-k2 NP7  ;  H की कर VGF VM VGF2 ccof CCP  ;  U ;  NULL
H की कर VGF VM VGF2 ccof CCP  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H टिथी टिथी NP NN NP7 pof VGF2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H उन्होंने वह NP PRP NP k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कि कि CCP CC CCP k2 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H की कर VGF VM VGF2 ccof CCP  ;  U ;  NULL
ROOT  ;  H टिथी टिथी NP NN NP7 pof VGF2  ;  U ;  NULL
ROOT  ;  H उन्होंने वह NP PRP NP k1 VGF  ;  U ;  NULL
ROOT  ;  H कि कि CCP CC CCP k2 VGF  ;  U ;  NULL
H आडवाणी आडवाणी NP NNP NP k5 VGNN ; H लेने ले VGNN VM VGNN r6-k2 NP3 ; R ; k5 
H बयान बयान NP NN NP2 k2 VGNN ; H लेने ले VGNN VM VGNN r6-k2 NP3 ; R ; k2 
H वापस वापस JJP JJ JJP pof VGNN ; H लेने ले VGNN VM VGNN r6-k2 NP3 ; R ; pof 
H लेने ले VGNN VM VGNN r6-k2 NP3 ; H मांग मांग NP NN NP3 pof VGNN2 ; R ; r6-k2 
H मांग मांग NP NN NP3 pof VGNN2 ; H करने कर VGNN VM VGNN2 nmod NP4 ; R ; pof 
H करने कर VGNN VM VGNN2 nmod NP4 ; H संघ संघ NP NN NP4 k1 VGF ; R ; nmod 
H संघ संघ NP NN NP4 k1 VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; k1 
H उन वह NP PRP NP5 k7 VGNN3 ; H डालने डाल VGNN VM VGNN3 r6 NP9 ; R ; k7 
H इस्तीफे इस्तीफा NP NN NP6 rt VGNN3 ; H डालने डाल VGNN VM VGNN3 r6 NP9 ; R ; rt 
H तरह तरह NP NN NP7 r6-k2 NP8 ; H दबाव दबाव NP NN NP8 pof VGNN3 ; R ; r6-k2 
H दबाव दबाव NP NN NP8 pof VGNN3 ; H डालने डाल VGNN VM VGNN3 r6 NP9 ; R ; pof 
H डालने डाल VGNN VM VGNN3 r6 NP9 ; H आरोप आरोप NP NN NP9 k2 VGF ; R ; r6 
H आरोप आरोप NP NN NP9 k2 VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; k2 
H इनकार इनकार NP NN NP10 pof VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; pof 
ROOT ; H किया कर VGF VM VGF NULL ROOT ; L ; ROOT 
H किया कर VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H आडवाणी आडवाणी NP NNP NP k5 VGNN  ;  H बयान बयान NP NN NP2 k2 VGNN  ;  U ;  NULL
H बयान बयान NP NN NP2 k2 VGNN  ;  H वापस वापस JJP JJ JJP pof VGNN  ;  U ;  NULL
H संघ संघ NP NN NP4 k1 VGF  ;  H इनकार इनकार NP NN NP10 pof VGF  ;  U ;  NULL
H संघ संघ NP NN NP4 k1 VGF  ;  H उन वह NP PRP NP5 k7 VGNN3  ;  U ;  NULL
H उन वह NP PRP NP5 k7 VGNN3  ;  H दबाव दबाव NP NN NP8 pof VGNN3  ;  U ;  NULL
H उन वह NP PRP NP5 k7 VGNN3  ;  H इस्तीफे इस्तीफा NP NN NP6 rt VGNN3  ;  U ;  NULL
H इस्तीफे इस्तीफा NP NN NP6 rt VGNN3  ;  H तरह तरह NP NN NP7 r6-k2 NP8  ;  U ;  NULL
H आरोप आरोप NP NN NP9 k2 VGF  ;  H इनकार इनकार NP NN NP10 pof VGF  ;  U ;  NULL
H डालने डाल VGNN VM VGNN3 r6 NP9  ;  H किया कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H दबाव दबाव NP NN NP8 pof VGNN3  ;  H किया कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H आडवाणी आडवाणी NP NNP NP k5 VGNN  ;  H किया कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H बयान बयान NP NN NP2 k2 VGNN  ;  H किया कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H इनकार इनकार NP NN NP10 pof VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H आरोप आरोप NP NN NP9 k2 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H आडवाणी आडवाणी NP NNP NP k5 VGNN  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H बयान बयान NP NN NP2 k2 VGNN  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H इनकार इनकार NP NN NP10 pof VGF  ;  U ;  NULL
ROOT  ;  H आरोप आरोप NP NN NP9 k2 VGF  ;  U ;  NULL
ROOT  ;  H आडवाणी आडवाणी NP NNP NP k5 VGNN  ;  U ;  NULL
ROOT  ;  H बयान बयान NP NN NP2 k2 VGNN  ;  U ;  NULL
ROOT ; H लेकिन लेकिन CCP CC CCP NULL ROOT ; L ; ROOT 
H उन्होंने वह NP PRP NP k1 VGF ; H कहा कह VGF VM VGF ccof CCP ; R ; k1 
H लेकिन लेकिन CCP CC CCP NULL ROOT ; H कहा कह VGF VM VGF ccof CCP ; L ; ccof 
H कहा कह VGF VM VGF ccof CCP ; H कि कि CCP CC CCP2 k2 VGF ; L ; k2 
H हम हम NP PRP NP2 k1 VGF2 ; H हैं है VGF VM VGF2 ccof CCP2 ; R ; k1 
H जिन्ना जिन्ना NP NNP NP3 k2 VGNN ; H बताए बता VGNN VM VGNN rh VGF2 ; R ; k2 
H सेकुलर सेकुलर JJP JJ JJP k2g VGNN ; H बताए बता VGNN VM VGNN rh VGF2 ; R ; k2g 
H बताए बता VGNN VM VGNN rh VGF2 ; H हैं है VGF VM VGF2 ccof CCP2 ; R ; rh 
H सहमत सहमत JJP JJ JJP2 k1s VGF2 ; H हैं है VGF VM VGF2 ccof CCP2 ; R ; k1s 
H कि कि CCP CC CCP2 k2 VGF ; H हैं है VGF VM VGF2 ccof CCP2 ; L ; ccof 
H लेकिन लेकिन CCP CC CCP NULL ROOT ; H । । BLK SYM BLK rsym CCP ; L ; rsym 
H हम हम NP PRP NP2 k1 VGF2  ;  H सहमत सहमत JJP JJ JJP2 k1s VGF2  ;  U ;  NULL
H हम हम NP PRP NP2 k1 VGF2  ;  H जिन्ना जिन्ना NP NNP NP3 k2 VGNN  ;  U ;  NULL
H जिन्ना जिन्ना NP NNP NP3 k2 VGNN  ;  H सेकुलर सेकुलर JJP JJ JJP k2g VGNN  ;  U ;  NULL
H बताए बता VGNN VM VGNN rh VGF2  ;  H सहमत सहमत JJP JJ JJP2 k1s VGF2  ;  U ;  NULL
H सेकुलर सेकुलर JJP JJ JJP k2g VGNN  ;  H हैं है VGF VM VGF2 ccof CCP2  ;  U ;  NULL
H जिन्ना जिन्ना NP NNP NP3 k2 VGNN  ;  H हैं है VGF VM VGF2 ccof CCP2  ;  U ;  NULL
H हैं है VGF VM VGF2 ccof CCP2  ;  H । । BLK SYM BLK rsym CCP  ;  U ;  NULL
H सहमत सहमत JJP JJ JJP2 k1s VGF2  ;  H । । BLK SYM BLK rsym CCP  ;  U ;  NULL
H उन्होंने वह NP PRP NP k1 VGF  ;  H । । BLK SYM BLK rsym CCP  ;  U ;  NULL
H कहा कह VGF VM VGF ccof CCP  ;  H । । BLK SYM BLK rsym CCP  ;  U ;  NULL
ROOT  ;  H हैं है VGF VM VGF2 ccof CCP2  ;  U ;  NULL
ROOT  ;  H सहमत सहमत JJP JJ JJP2 k1s VGF2  ;  U ;  NULL
ROOT  ;  H उन्होंने वह NP PRP NP k1 VGF  ;  U ;  NULL
